,sorszam,plotlabel,svc_likelihood,nn_likelihood,rf_likelihood,sum
13,3518,3518,0.7434042553191489,0.07601396276595741,0.8876182033096922,1.7070364213947986
11,3438,3438,0.7434042553191489,0.004389683067375886,0.9133569739952717,1.6611509123817965
15,3522,3522,0.7113829787234044,2.7703900709219857e-05,0.5457151300236406,1.2571258126477542
32,152,152,0.7434042553191489,0.17490303634751814,0.1043144208037825,1.0226217124704495
59,1629,1629,0.4248936170212766,2.7703900709219857e-05,0.5711583924349879,0.9960797133569738
38,899,899,0.0,0.0012757646276595745,0.8480200945626475,0.849295859190307
72,2689,2689,0.7434042553191489,2.7703900709219857e-05,0.06456855791962174,0.8080005171394798
87,57,57,0.7434042553191489,2.7703900709219857e-05,0.025856973995271867,0.7692889332151299
20,1080,1080,0.3914893617021277,2.7703900709219857e-05,0.3756796690307328,0.7671967346335697
74,1546,1546,0.7434042553191489,0.0006496564716312056,0.012736406619385344,0.7567903184101654
31,3033,3033,0.7434042553191489,2.7703900709219857e-05,0.013091016548463357,0.7565229757683215
60,2766,2766,0.7434042553191489,2.7703900709219857e-05,0.012736406619385344,0.7561683658392434
24,782,782,0.7434042553191489,2.7703900709219857e-05,0.0,0.7434319592198582
68,2493,2493,0.7434042553191489,2.7703900709219857e-05,0.0,0.7434319592198582
43,1006,1006,0.3914893617021277,2.7703900709219857e-05,0.19468085106382985,0.5861979166666668
76,208,208,0.3914893617021277,2.7703900709219857e-05,0.16835106382978726,0.5598681294326242
7,295,295,0.4248936170212766,2.7703900709219857e-05,0.09137115839243498,0.5162924793144208
3,1179,1179,0.3914893617021277,2.7703900709219857e-05,0.11699172576832151,0.5085087913711585
42,1001,1001,0.3914893617021277,2.7703900709219857e-05,0.11640070921985816,0.5079177748226951
39,2891,2891,0.4248936170212766,2.7703900709219857e-05,0.07662529550827424,0.50154661643026
6,1570,1570,0.3914893617021277,2.7703900709219857e-05,0.07771867612293143,0.4692357417257684
58,3046,3046,0.4248936170212766,2.7703900709219857e-05,0.03885933806146572,0.46378065898345155
63,472,472,0.4248936170212766,2.7703900709219857e-05,0.013091016548463357,0.43801233747044915
73,2970,2970,0.4248936170212766,2.7703900709219857e-05,0.012736406619385344,0.43765772754137117
69,3189,3189,0.4248936170212766,2.7703900709219857e-05,0.012736406619385344,0.43765772754137117
81,1033,1033,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
47,316,316,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
89,2812,2812,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
48,1686,1686,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
1,1898,1898,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
51,632,632,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
67,2864,2864,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
84,2953,2953,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
57,1267,1267,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
21,1093,1093,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
78,2996,2996,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
28,2982,2982,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
96,3139,3139,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
80,2119,2119,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
97,2315,2315,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
94,1710,1710,0.4248936170212766,2.7703900709219857e-05,0.0,0.4249213209219858
0,866,866,0.3914893617021277,2.7703900709219857e-05,0.012736406619385344,0.4042534722222223
27,26,26,0.3914893617021277,2.7703900709219857e-05,0.012736406619385344,0.4042534722222223
25,3301,3301,0.3914893617021277,2.7703900709219857e-05,0.012736406619385344,0.4042534722222223
71,1516,1516,0.3914893617021277,2.7703900709219857e-05,0.0,0.39151706560283694
70,850,850,0.3914893617021277,2.7703900709219857e-05,0.0,0.39151706560283694
90,566,566,0.3914893617021277,2.7703900709219857e-05,0.0,0.39151706560283694
53,2914,2914,0.3914893617021277,2.7703900709219857e-05,0.0,0.39151706560283694
56,2081,2081,0.3914893617021277,2.7703900709219857e-05,0.0,0.39151706560283694
9,3891,3891,0.32712765957446815,2.7703900709219857e-05,0.0,0.3271553634751774
62,3075,3075,0.24553191489361703,2.7703900709219857e-05,0.0,0.24555961879432625
4,10,10,0.0,2.7703900709219857e-05,0.19491725768321516,0.19494496158392438
95,3274,3274,0.16893617021276594,2.7703900709219857e-05,0.0,0.16896387411347516
37,894,894,0.1545744680851064,2.7703900709219857e-05,0.012884160756501182,0.16748633274231678
52,666,666,0.06436170212765957,0.001901872783687943,0.03871158392434988,0.10497515883569739
40,2032,2032,0.06436170212765957,0.005037954343971631,0.02559101654846336,0.09499067302009456
35,2593,2593,0.0,2.7703900709219857e-05,0.07751182033096927,0.0775395242316785
36,892,892,0.03202127659574468,0.0006524268617021277,0.03871158392434988,0.0713852873817967
82,42,42,0.06436170212765957,0.0012771498226950356,0.0,0.06563885195035461
18,3904,3904,0.03202127659574468,0.0006551972517730496,0.012736406619385344,0.045412880466903074
75,947,947,0.0,2.7703900709219857e-05,0.039213947990543736,0.039241651891252956
92,836,836,0.0,2.7703900709219857e-05,0.039213947990543736,0.039241651891252956
50,2239,2239,0.0,2.7703900709219857e-05,0.012884160756501182,0.012911864657210401
34,2606,2606,0.0,2.7703900709219857e-05,0.012884160756501182,0.012911864657210401
22,1081,1081,0.0,2.7703900709219857e-05,0.012736406619385344,0.012764110520094563
26,27,27,0.0,2.7703900709219857e-05,0.012736406619385344,0.012764110520094563
8,283,283,0.0,2.7703900709219857e-05,0.012736406619385344,0.012764110520094563
19,3617,3617,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
85,1731,1731,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
86,1724,1724,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
17,3524,3524,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
88,3120,3120,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
16,3412,3412,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
61,3080,3080,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
83,169,169,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
91,15,15,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
12,3882,3882,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
93,382,382,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
10,3742,3742,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
5,1585,1585,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
2,1884,1884,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
98,393,393,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
14,3765,3765,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
23,2574,2574,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
64,1774,1774,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
79,2123,2123,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
29,2979,2979,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
77,1323,1323,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
30,2435,2435,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
33,2588,2588,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
41,2043,2043,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
44,2200,2200,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
45,2199,2199,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
46,2449,2449,0.0,2.7703900709219857e-05,0.0,2.7703900709219857e-05
