"sorszam","telnev","iskola","egyutt","neme","szulev","htfovi","neme2","szulev2","szulho2","htfovi2","neme3","szulev3","szulho3","htfovi3","neme4","szulev4","szulho4","htfovi4","neme5","szulev5","szulho5","htfovi5","neme6","szulev6","szulho6","htfovi6","csalall","dolg","agazat","htnetto","d9","d10","d11"
1,"Bóly                     ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1976","Családfő","Nő","2002","8","Gyermeke","Nő","1956","6","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Szállítás, raktározás","125000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
2,"Bóly                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Férfi","1987","Családfő","Nő","1987","9","Élettársa","Férfi","2015","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","140000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
4,"Bóly                     ","8 általános","2","Nő","1962","Házastársa","Férfi","1960","9","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás","140000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
5,"Bóly                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1958","Családfő","Nő","1956","9","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar","230000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
6,"Bóly                     ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1967","Gyermeke","Nő","1947","8","Családfő","Férfi","1969","10","Gyermeke","Férfi","1982","7","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","210000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
11,"Bóly                     ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1983","Családfő","Nő","1951","3","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Humán-egészségügyi, szociális ellátás","28000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
13,"Bóly                     ","8 általános","3","Nő","1988","Családfő","Nő","2006","1","Gyermeke","Férfi","2014","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","160000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
14,"Hosszúhetény             ","Gimnáziumi érettségi","3","Nő","1980","Családfő","Nő","2006","1","Gyermeke","Férfi","2007","12","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Kereskedelem, gépjárműjavítás","180000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
16,"Hosszúhetény             ","Főiskola / BA / BSc","2","Nő","1968","Házastársa","Férfi","1966","12","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
17,"Hosszúhetény             ","Gimnáziumi érettségi","Egyedül él                    ","Nő","1966","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Egyéb szolgáltatás","130000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
19,"Hosszúhetény             ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Nő","1963","Házastársa","Férfi","1963","10","Családfő","Férfi","1982","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
20,"Hosszúhetény             ","8 általános","4","Nő","1976","Házastársa","Férfi","1970","8","Családfő","Férfi","1999","6","Gyermeke","Nő","2000","11","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","165000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
22,"Hosszúhetény             ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Férfi","1982","Családfő","Nő","1985","12","Élettársa","Nő","1961","10","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
23,"Hosszúhetény             ","Gimnáziumi érettségi","3","Nő","1969","Szülője, anyósa, apósa","Férfi","1987","9","Családfő","Nő","1941","11","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Egyéb szolgáltatás","285000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
24,"Hosszúhetény             ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1972","Családfő","Nő","1954","4","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Munkanélküli","Vízellátás, szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés","60000","családi ház kerttel","saját ívóvíz kút","közműves szennyvízhálózat"
25,"Királyegyháza            ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1967","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","180000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
29,"Királyegyháza            ","8 általános","2","Férfi","1979","Családfő","Nő","1981","10","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza","150000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
30,"Királyegyháza            ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1967","Családfő","Nő","1968","6","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar","120000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
32,"Királyegyháza            ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1960","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","70000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
33,"Királyegyháza            ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1966","Házastársa","Férfi","1960","8","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
36,"Lothárd                  ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Férfi","1964","Családfő","Nő","1966","4","Házastársa","Férfi","2001","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","340000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
37,"Lothárd                  ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1968","Családfő","Nő","1969","8","Házastársa","Férfi","2004","6","Gyermeke","Nő","2002","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza","185000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
39,"Lothárd                  ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1967","Házastársa","Férfi","1968","2","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","360000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
41,"Lothárd                  ","Szakmunkásképző; szakképzés érettségi nélkül","5","Férfi","1969","Családfő","Nő","1976","4","Élettársa","Férfi","1997","8","Gyermeke","Nő","1954","6","Szülője, anyósa, apósa","Férfi","1948","12","Szülője, anyósa, apósa",NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Építőipar","380000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
43,"Lothárd                  ","Főiskola / BA / BSc","3","Férfi","1982","Családfő","Nő","1986","4","Házastársa","Nő","2012","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység","460000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
44,"Lothárd                  ","8 általános","4","Nő","1975","Élettársa","Férfi","1971","6","Családfő","Férfi","1952","4","Szülője, anyósa, apósa","Nő","1954","8","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Munkanélküli","Egyéb szolgáltatás","280000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
45,"Lothárd                  ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1965","Házastársa","Férfi","1968","8","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás","340000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
47,"Mohács                   ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1966","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","180000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
48,"Mohács                   ","8 általános","2","Férfi","1973","Családfő","Nő","1978","11","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","230000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
