telepules,terulet,lakossag,,,,,,,,,,,,,,
Baranya megye,,,,,,,,,,,,,,,,
Babarc,19,729,,,,,,,,,,,,,,
Belvárdgyula,17,402,,,,,,,,,,,,,,
Bóly,25,3996,,,,,,,,,,,,,,
Borjád,16,388,,,,,,,,,,,,,,
Hásságy,8,248,,,,,,,,,,,,,,
Kisbudmér,6,124,,,,,,,,,,,,,,
Liptód,15,203,,,,,,,,,,,,,,
Máriakéménd,16,588,,,,,,,,,,,,,,
Monyoród,7,182,,,,,,,,,,,,,,
Nagybudmér,10,192,,,,,,,,,,,,,,
Olasz,10,630,,,,,,,,,,,,,,
Pócsa,8,181,,,,,,,,,,,,,,
Szajk,11,852,,,,,,,,,,,,,,
Szederkény,14,1830,,,,,,,,,,,,,,
Töttös,23,573,,,,,,,,,,,,,,
Versend,14,937,,,,,,,,,,,,,,
Bólyi járás,220,12055,,,,,,,,,,,,,,
Bikal,17,743,,,,,,,,,,,,,,
Bodolyabér,9,222,,,,,,,,,,,,,,
Egyházaskozár,24,792,,,,,,,,,,,,,,
Hegyhátmaróc,8,133,,,,,,,,,,,,,,
Kárász,8,317,,,,,,,,,,,,,,
Komló,47,25020,,,,,,,,,,,,,,
Köblény,8,227,,,,,,,,,,,,,,
Liget,12,419,,,,,,,,,,,,,,
Magyaregregy,27,717,,,,,,,,,,,,,,
Magyarhertelend,16,627,,,,,,,,,,,,,,
Magyarszék,14,1085,,,,,,,,,,,,,,
Mánfa,28,843,,,,,,,,,,,,,,
Máza,11,1226,,,,,,,,,,,,,,
Mecsekpölöske,7,412,,,,,,,,,,,,,,
Oroszló,6,313,,,,,,,,,,,,,,
Szalatnak,10,330,,,,,,,,,,,,,,
Szárász,6,25,,,,,,,,,,,,,,
Szászvár,21,2334,,,,,,,,,,,,,,
Tófű,4,110,,,,,,,,,,,,,,
Vékény,9,145,,,,,,,,,,,,,,
Komlói járás,292,36040,,,,,,,,,,,,,,
Bár,9,534,,,,,,,,,,,,,,
Bezedek,11,238,,,,,,,,,,,,,,
Dunaszekcső,37,1932,,,,,,,,,,,,,,
Erdősmárok,8,89,,,,,,,,,,,,,,
Feked,19,165,,,,,,,,,,,,,,
Görcsönydoboka,10,387,,,,,,,,,,,,,,
Himesháza,18,1078,,,,,,,,,,,,,,
Homorúd,45,620,,,,,,,,,,,,,,
Ivándárda,8,255,,,,,,,,,,,,,,
Kisnyárád,9,185,,,,,,,,,,,,,,
Kölked,62,1033,,,,,,,,,,,,,,
Lánycsók,25,2489,,,,,,,,,,,,,,
Lippó,15,446,,,,,,,,,,,,,,
Majs,32,939,,,,,,,,,,,,,,
Maráza,10,177,,,,,,,,,,,,,,
Mohács,112,18604,,,,,,,,,,,,,,
Nagynyárád,24,719,,,,,,,,,,,,,,
Palotabozsok,20,913,,,,,,,,,,,,,,
Sárok,5,109,,,,,,,,,,,,,,
Sátorhely,18,642,,,,,,,,,,,,,,
Somberek,31,1394,,,,,,,,,,,,,,
Szebény,14,373,,,,,,,,,,,,,,
Székelyszabar,15,586,,,,,,,,,,,,,,
Szűr,8,275,,,,,,,,,,,,,,
Udvar,4,152,,,,,,,,,,,,,,
Véménd,32,1462,,,,,,,,,,,,,,
Mohácsi járás,601,35796,,,,,,,,,,,,,,
Abaliget,16,586,,,,,,,,,,,,,,
Aranyosgadány,8,321,,,,,,,,,,,,,,
Áta,8,168,,,,,,,,,,,,,,
Bakonya,15,379,,,,,,,,,,,,,,
Berkesd,19,864,,,,,,,,,,,,,,
Birján,9,510,,,,,,,,,,,,,,
Bogád,8,1094,,,,,,,,,,,,,,
Bosta,6,135,,,,,,,,,,,,,,
Cserkút,7,567,,,,,,,,,,,,,,
Egerág,13,970,,,,,,,,,,,,,,
Ellend,8,217,,,,,,,,,,,,,,
Görcsöny,19,1663,,,,,,,,,,,,,,
Gyód,3,672,,,,,,,,,,,,,,
Hosszúhetény,45,3486,,,,,,,,,,,,,,
Husztót,7,41,,,,,,,,,,,,,,
Keszü,7,1284,,,,,,,,,,,,,,
Kisherend,7,188,,,,,,,,,,,,,,
Kovácsszénája,8,57,,,,,,,,,,,,,,
Kozármisleny,14,6109,,,,,,,,,,,,,,
Kökény,5,619,,,,,,,,,,,,,,
Kővágószőlős,18,1262,,,,,,,,,,,,,,
Kővágótöttös,14,311,,,,,,,,,,,,,,
Lothárd,10,254,,,,,,,,,,,,,,
Magyarsarlós,8,297,,,,,,,,,,,,,,
Nagykozár,11,1927,,,,,,,,,,,,,,
Ócsárd,13,405,,,,,,,,,,,,,,
Orfű,32,941,,,,,,,,,,,,,,
Pécs,163,156801,,,,,,,,,,,,,,
Pécsudvard,8,751,,,,,,,,,,,,,,
Pellérd,21,2209,,,,,,,,,,,,,,
Pereked,7,172,,,,,,,,,,,,,,
Pogány,12,1168,,,,,,,,,,,,,,
Regenye,6,136,,,,,,,,,,,,,,
Romonya,7,486,,,,,,,,,,,,,,
Szalánta,17,1233,,,,,,,,,,,,,,
Szemely,9,473,,,,,,,,,,,,,,
Szilágy,12,289,,,,,,,,,,,,,,
Szilvás,6,171,,,,,,,,,,,,,,
Szőke,6,125,,,,,,,,,,,,,,
Szőkéd,10,366,,,,,,,,,,,,,,
Pécsi járás,623,189707,,,,,,,,,,,,,,
Apátvarasd,8,134,,,,,,,,,,,,,,
Erdősmecske,26,368,,,,,,,,,,,,,,
Erzsébet,10,301,,,,,,,,,,,,,,
Fazekasboda,7,203,,,,,,,,,,,,,,
Geresdlak,25,771,,,,,,,,,,,,,,
Hidas,19,2017,,,,,,,,,,,,,,
Kátoly,9,290,,,,,,,,,,,,,,
Kékesd,8,175,,,,,,,,,,,,,,
Lovászhetény,9,268,,,,,,,,,,,,,,
Martonfa,6,205,,,,,,,,,,,,,,
Mecseknádasd,36,1509,,,,,,,,,,,,,,
Nagypall,7,425,,,,,,,,,,,,,,
Óbánya,7,129,,,,,,,,,,,,,,
Ófalu,10,324,,,,,,,,,,,,,,
Pécsvárad,36,4022,,,,,,,,,,,,,,
Szellő,6,135,,,,,,,,,,,,,,
Zengővárkony,17,414,,,,,,,,,,,,,,
Pécsváradi járás,246,11690,,,,,,,,,,,,,,
Ág,12,179,,,,,,,,,,,,,,
Alsómocsolád,13,329,,,,,,,,,,,,,,
Bakóca,11,275,,,,,,,,,,,,,,
Baranyajenő,16,489,,,,,,,,,,,,,,
Baranyaszentgyörgy,7,121,,,,,,,,,,,,,,
Felsőegerszeg,5,135,,,,,,,,,,,,,,
Gerényes,12,256,,,,,,,,,,,,,,
Gödre,40,831,,,,,,,,,,,,,,
Kisbeszterce,7,78,,,,,,,,,,,,,,
Kishajmás,12,204,,,,,,,,,,,,,,
Kisvaszar,20,332,,,,,,,,,,,,,,
Mágocs,43,2388,,,,,,,,,,,,,,
Mekényes,18,267,,,,,,,,,,,,,,
Meződ,10,124,,,,,,,,,,,,,,
Mindszentgodisa,23,870,,,,,,,,,,,,,,
Nagyhajmás,18,340,,,,,,,,,,,,,,
Palé,2,106,,,,,,,,,,,,,,
Sásd,15,3282,,,,,,,,,,,,,,
Szágy,9,152,,,,,,,,,,,,,,
Tarrós,5,123,,,,,,,,,,,,,,
Tékes,13,230,,,,,,,,,,,,,,
Tormás,25,284,,,,,,,,,,,,,,
Varga,8,94,,,,,,,,,,,,,,
Vásárosdombó,12,1090,,,,,,,,,,,,,,
Vázsnok,5,124,,,,,,,,,,,,,,
Hegyháti járás,361,12703,,,,,,,,,,,,,,
Adorjás,8,181,,,,,,,,,,,,,,
Baksa,14,769,,,,,,,,,,,,,,
Baranyahídvég,8,202,,,,,,,,,,,,,,
Besence,10,121,,,,,,,,,,,,,,
Bogádmindszent,12,431,,,,,,,,,,,,,,
Bogdása,21,276,,,,,,,,,,,,,,
Csányoszró,29,668,,,,,,,,,,,,,,
Drávafok,24,503,,,,,,,,,,,,,,
Drávaiványi,11,196,,,,,,,,,,,,,,
Drávakeresztúr,13,109,,,,,,,,,,,,,,
Drávasztára,18,398,,,,,,,,,,,,,,
Felsőszentmárton,19,881,,,,,,,,,,,,,,
Gilvánfa,15,369,,,,,,,,,,,,,,
Hegyszentmárton,19,408,,,,,,,,,,,,,,
Hirics,15,232,,,,,,,,,,,,,,
Kákics,15,227,,,,,,,,,,,,,,
Kemse,9,57,,,,,,,,,,,,,,
Kisasszonyfa,9,178,,,,,,,,,,,,,,
Kisszentmárton,15,261,,,,,,,,,,,,,,
Kórós,15,222,,,,,,,,,,,,,,
Lúzsok,7,266,,,,,,,,,,,,,,
Magyarmecske,12,309,,,,,,,,,,,,,,
Magyartelek,7,216,,,,,,,,,,,,,,
Markóc,6,55,,,,,,,,,,,,,,
Marócsa,11,86,,,,,,,,,,,,,,
Nagycsány,6,152,,,,,,,,,,,,,,
Okorág,12,167,,,,,,,,,,,,,,
Ózdfalu,8,177,,,,,,,,,,,,,,
Páprád,12,153,,,,,,,,,,,,,,
Piskó,12,241,,,,,,,,,,,,,,
Sámod,6,217,,,,,,,,,,,,,,
Sellye,25,2752,,,,,,,,,,,,,,
Sósvertike,7,184,,,,,,,,,,,,,,
Tengeri,4,47,,,,,,,,,,,,,,
Téseny,12,323,,,,,,,,,,,,,,
Vajszló,18,1694,,,,,,,,,,,,,,
Vejti,10,160,,,,,,,,,,,,,,
Zaláta,22,278,,,,,,,,,,,,,,
Sellyei járás,494,14166,,,,,,,,,,,,,,
Alsószentmárton,14,1177,,,,,,,,,,,,,,
Babarcszőlős,4,96,,,,,,,,,,,,,,
Beremend,48,2594,,,,,,,,,,,,,,
Bisse,14,228,,,,,,,,,,,,,,
Cún,18,242,,,,,,,,,,,,,,
Csarnóta,5,150,,,,,,,,,,,,,,
Diósviszló,16,702,,,,,,,,,,,,,,
Drávacsehi,7,214,,,,,,,,,,,,,,
Drávacsepely,7,201,,,,,,,,,,,,,,
Drávapalkonya,10,249,,,,,,,,,,,,,,
Drávapiski,5,112,,,,,,,,,,,,,,
Drávaszabolcs,11,703,,,,,,,,,,,,,,
Drávaszerdahely,6,188,,,,,,,,,,,,,,
Egyházasharaszti,11,323,,,,,,,,,,,,,,
Garé,9,295,,,,,,,,,,,,,,
Gordisa,11,314,,,,,,,,,,,,,,
Harkány,26,4065,,,,,,,,,,,,,,
Illocska,15,240,,,,,,,,,,,,,,
Ipacsfa,6,187,,,,,,,,,,,,,,
Ivánbattyán,6,120,,,,,,,,,,,,,,
Kásád,13,299,,,,,,,,,,,,,,
Kémes,7,471,,,,,,,,,,,,,,
Kisdér,4,127,,,,,,,,,,,,,,
Kisharsány,13,550,,,,,,,,,,,,,,
Kisjakabfalva,7,118,,,,,,,,,,,,,,
Kiskassa,13,256,,,,,,,,,,,,,,
Kislippó,8,280,,,,,,,,,,,,,,
Kistapolca,4,191,,,,,,,,,,,,,,
Kistótfalu,11,324,,,,,,,,,,,,,,
Kovácshida,8,262,,,,,,,,,,,,,,
Lapáncsa,4,201,,,,,,,,,,,,,,
Magyarbóly,17,948,,,,,,,,,,,,,,
Márfa,4,209,,,,,,,,,,,,,,
Márok,16,431,,,,,,,,,,,,,,
Matty,17,332,,,,,,,,,,,,,,
Nagyharsány,26,1570,,,,,,,,,,,,,,
Nagytótfalu,11,389,,,,,,,,,,,,,,
Old,14,336,,,,,,,,,,,,,,
Palkonya,10,271,,,,,,,,,,,,,,
Pécsdevecser,5,96,,,,,,,,,,,,,,
Peterd,11,197,,,,,,,,,,,,,,
Rádfalva,13,179,,,,,,,,,,,,,,
Siklós,51,9631,,,,,,,,,,,,,,
Siklósbodony,4,128,,,,,,,,,,,,,,
Siklósnagyfalu,9,445,,,,,,,,,,,,,,
Szaporca,10,249,,,,,,,,,,,,,,
Szava,13,350,,,,,,,,,,,,,,
Tésenfa,8,167,,,,,,,,,,,,,,
Túrony,9,249,,,,,,,,,,,,,,
Újpetre,17,1033,,,,,,,,,,,,,,
Villány,22,2474,,,,,,,,,,,,,,
Villánykövesd,7,277,,,,,,,,,,,,,,
Vokány,17,817,,,,,,,,,,,,,,
Siklósi járás,653,36257,,,,,,,,,,,,,,
Bicsérd,20,1008,,,,,,,,,,,,,,
Boda,15,436,,,,,,,,,,,,,,
Bükkösd,30,1099,,,,,,,,,,,,,,
Cserdi,6,375,,,,,,,,,,,,,,
Csonkamindszent,6,177,,,,,,,,,,,,,,
Dinnyeberki,9,90,,,,,,,,,,,,,,
Gerde,13,520,,,,,,,,,,,,,,
Gyöngyfa,9,156,,,,,,,,,,,,,,
Helesfa,10,501,,,,,,,,,,,,,,
Hetvehely,21,417,,,,,,,,,,,,,,
Kacsóta,10,272,,,,,,,,,,,,,,
Királyegyháza,23,915,,,,,,,,,,,,,,
Okorvölgy,3,88,,,,,,,,,,,,,,
Pécsbagota,6,93,,,,,,,,,,,,,,
Sumony,20,406,,,,,,,,,,,,,,
Szabadszentkirály,13,785,,,,,,,,,,,,,,
Szentdénes,12,327,,,,,,,,,,,,,,
Szentkatalin,13,106,,,,,,,,,,,,,,
Szentlőrinc,28,6848,,,,,,,,,,,,,,
Velény,7,146,,,,,,,,,,,,,,
Zók,9,277,,,,,,,,,,,,,,
Szentlőrinci járás,282,15042,,,,,,,,,,,,,,
Almamellék,44,428,,,,,,,,,,,,,,
Almáskeresztúr,13,83,,,,,,,,,,,,,,
Bánfa,12,187,,,,,,,,,,,,,,
Basal,4,202,,,,,,,,,,,,,,
Boldogasszonyfa,17,426,,,,,,,,,,,,,,
Botykapeterd,17,312,,,,,,,,,,,,,,
Bürüs,16,97,,,,,,,,,,,,,,
Csebény,4,94,,,,,,,,,,,,,,
Csertő,14,403,,,,,,,,,,,,,,
Dencsháza,14,591,,,,,,,,,,,,,,
Endrőc,11,353,,,,,,,,,,,,,,
Gyöngyösmellék,10,283,,,,,,,,,,,,,,
Hobol,18,985,,,,,,,,,,,,,,
Horváthertelend,5,78,,,,,,,,,,,,,,
Ibafa,29,237,,,,,,,,,,,,,,
Katádfa,4,176,,,,,,,,,,,,,,
Kétújfalu,16,673,,,,,,,,,,,,,,
Kisdobsza,10,238,,,,,,,,,,,,,,
Kistamási,4,135,,,,,,,,,,,,,,
Magyarlukafa,13,81,,,,,,,,,,,,,,
Merenye,14,270,,,,,,,,,,,,,,
Molvány,14,182,,,,,,,,,,,,,,
Mozsgó,22,1043,,,,,,,,,,,,,,
Nagydobsza,13,668,,,,,,,,,,,,,,
Nagypeterd,12,649,,,,,,,,,,,,,,
Nagyváty,13,341,,,,,,,,,,,,,,
Nemeske,11,244,,,,,,,,,,,,,,
Nyugotszenterzsébet,9,243,,,,,,,,,,,,,,
Patapoklosi,13,322,,,,,,,,,,,,,,
