,sorszam,telnev,iskola,egyutt,neme,dolg,htnetto,eletpalya,lakossag,relLakossag,train
0,1,boly,3,3,1,1,125000.0,0.3898305084745763,3996.0,0.002296497611263183,0.19378081133987324
1,2,boly,4,3,1,1,140000.0,0.20338983050847464,3996.0,0.002296497611263183,0.09472650693442519
2,4,boly,2,2,2,1,140000.0,0.6271186440677967,3996.0,0.002296497611263183,0.6053280003663283
3,5,boly,4,2,1,1,230000.0,0.6949152542372881,3996.0,0.002296497611263183,0.4372784575444607
4,6,boly,3,4,1,1,210000.0,0.5423728813559323,3996.0,0.002296497611263183,0.48394731510760125
5,11,boly,4,2,1,0,28000.0,0.2711864406779661,3996.0,0.002296497611263183,0.40755072418936356
6,13,boly,2,3,2,1,160000.0,0.1864406779661017,3996.0,0.002296497611263183,0.7674093075628341
7,14,hosszuheteny,5,3,2,1,180000.0,0.3220338983050847,3486.0,0.002003401069285149,0.8196033835464938
8,16,hosszuheteny,8,2,2,1,,0.5254237288135593,3486.0,0.002003401069285149,0.5085893680352183
9,17,hosszuheteny,5,1,2,1,130000.0,0.5593220338983051,3486.0,0.002003401069285149,0.8785468025208996
10,19,hosszuheteny,6,3,2,1,,0.6101694915254237,3486.0,0.002003401069285149,0.975766285484817
11,20,hosszuheteny,2,4,2,1,165000.0,0.3898305084745763,3486.0,0.002003401069285149,0.1542721660838493
12,22,hosszuheteny,6,3,1,1,,0.28813559322033905,3486.0,0.002003401069285149,0.1184006530368763
13,23,hosszuheteny,5,3,2,1,285000.0,0.5084745762711864,3486.0,0.002003401069285149,0.7775705117896563
14,24,hosszuheteny,3,2,2,0,60000.0,0.45762711864406785,3486.0,0.002003401069285149,0.39915272653474343
15,25,kiralyegyhaza,3,1,1,1,180000.0,0.5423728813559323,915.0,0.0005258496782547078,0.3547896592070473
16,29,kiralyegyhaza,2,2,1,1,150000.0,0.33898305084745767,915.0,0.0005258496782547078,0.6708249478560503
17,30,kiralyegyhaza,4,2,1,1,120000.0,0.5423728813559323,915.0,0.0005258496782547078,0.9840903287063837
18,32,kiralyegyhaza,4,1,2,1,70000.0,0.6610169491525424,915.0,0.0005258496782547078,0.8391862994209379
