,iskola,neme,eletpalya,lakossag,d10,d11,egyutt
0,3,1,0.3898305084745763,0.0022913371708106517,1,1,3
1,4,1,0.20338983050847464,0.0022913371708106517,1,1,3
2,2,2,0.6271186440677967,0.0022913371708106517,1,1,2
3,4,1,0.6949152542372881,0.0022913371708106517,1,1,2
4,3,1,0.5423728813559323,0.0022913371708106517,1,1,4
5,4,1,0.2711864406779661,0.0022913371708106517,1,1,2
6,2,2,0.1864406779661017,0.0022913371708106517,1,1,3
7,5,2,0.3220338983050847,0.001998239112843902,1,0,3
8,8,2,0.5254237288135593,0.001998239112843902,1,1,2
9,5,2,0.5593220338983051,0.001998239112843902,1,1,1
10,6,2,0.6101694915254237,0.001998239112843902,1,1,3
11,2,2,0.3898305084745763,0.001998239112843902,1,1,4
12,6,1,0.28813559322033905,0.001998239112843902,1,1,3
13,5,2,0.5084745762711864,0.001998239112843902,1,1,3
14,3,2,0.45762711864406785,0.001998239112843902,0,1,2
15,3,1,0.5423728813559323,0.0005206800794468148,1,1,1
16,2,1,0.33898305084745767,0.0005206800794468148,1,1,2
17,4,1,0.5423728813559323,0.0005206800794468148,1,1,2
18,4,2,0.6610169491525424,0.0005206800794468148,1,1,1
19,3,2,0.5593220338983051,0.0005206800794468148,1,1,2
20,4,1,0.5932203389830508,0.00014080200823892892,1,1,3
21,3,1,0.5254237288135593,0.00014080200823892892,1,1,4
22,4,2,0.5423728813559323,0.00014080200823892892,1,1,2
23,3,1,0.5084745762711864,0.00014080200823892892,1,0,5
24,8,1,0.28813559322033905,0.00014080200823892892,1,0,3
25,2,2,0.4067796610169491,0.00014080200823892892,1,0,4
26,4,2,0.576271186440678,0.00014080200823892892,1,0,2
27,3,1,0.5593220338983051,0.010686585074297483,1,1,1
28,2,1,0.4406779661016949,0.010686585074297483,1,1,2
29,9,2,0.49152542372881364,0.010686585074297483,1,1,5
30,2,2,0.6610169491525424,0.010686585074297483,1,1,1
31,6,1,0.8644067796610169,0.010686585074297483,1,1,1
32,2,1,0.6949152542372881,0.010686585074297483,1,1,1
33,2,2,0.5084745762711864,0.010686585074297483,1,1,3
34,3,1,0.7457627118644068,0.09010868765631896,1,1,2
35,4,1,0.23728813559322032,0.09010868765631896,1,1,2
36,5,1,0.2711864406779661,0.09010868765631896,1,1,2
37,3,1,0.4406779661016949,0.09010868765631896,1,1,3
38,5,1,0.6779661016949152,0.09010868765631896,1,1,2
39,5,2,0.5932203389830508,0.09010868765631896,1,1,3
40,5,2,0.5932203389830508,0.09010868765631896,1,1,2
41,3,1,0.6610169491525424,0.09010868765631896,1,1,2
42,4,1,0.20338983050847464,0.09010868765631896,1,1,4
43,4,1,0.25423728813559326,0.09010868765631896,1,1,2
44,3,1,0.3220338983050847,0.09010868765631896,1,1,3
45,2,1,0.4067796610169491,0.09010868765631896,1,1,4
46,4,2,0.050847457627118675,0.09010868765631896,1,1,2
47,4,2,0.06779661016949157,0.09010868765631896,1,1,4
48,3,2,0.33898305084745767,0.09010868765631896,1,1,3
49,4,1,0.20338983050847464,0.09010868765631896,1,1,2
50,9,1,0.11864406779661019,0.09010868765631896,1,1,1
51,4,2,0.8813559322033897,0.09010868765631896,1,1,1
52,6,2,1.0,0.09010868765631896,1,1,3
53,5,2,0.37288135593220345,0.09010868765631896,1,1,3
54,4,2,0.5932203389830508,0.09010868765631896,1,1,3
55,5,1,0.728813559322034,0.09010868765631896,1,1,4
56,4,1,0.5932203389830508,0.09010868765631896,1,1,2
57,5,1,0.3559322033898305,0.09010868765631896,1,1,3
58,3,2,0.4406779661016949,0.09010868765631896,1,1,2
59,8,2,0.22033898305084748,0.09010868765631896,1,1,2
60,8,2,0.33898305084745767,0.09010868765631896,1,1,2
61,3,1,0.6949152542372881,0.09010868765631896,1,1,2
62,4,2,0.5593220338983051,0.09010868765631896,1,1,1
63,4,2,0.28813559322033905,0.09010868765631896,1,1,3
64,7,1,0.15254237288135597,0.09010868765631896,1,1,3
65,4,2,0.5423728813559323,0.09010868765631896,1,1,2
66,4,1,0.4745762711864407,0.09010868765631896,1,1,3
67,3,1,0.5084745762711864,0.09010868765631896,1,1,2
68,4,2,0.1016949152542373,0.09010868765631896,1,1,3
69,4,2,0.37288135593220345,0.09010868765631896,1,1,4
70,2,2,0.13559322033898308,0.00018677817419449755,1,1,3
71,3,1,0.5084745762711864,0.00018677817419449755,1,0,1
72,2,2,0.050847457627118675,0.00018677817419449755,1,0,3
73,3,1,0.6610169491525424,0.00018677817419449755,1,0,1
74,2,1,0.22033898305084748,0.00018677817419449755,1,0,2
75,2,1,0.1016949152542373,0.00018677817419449755,1,0,2
76,2,2,0.42372881355932207,0.00018677817419449755,1,0,2
77,3,1,0.6440677966101696,0.00018677817419449755,1,0,2
78,2,1,0.8135593220338984,0.00018677817419449755,1,0,5
79,3,1,0.37288135593220345,0.006185518427247315,1,1,1
80,3,2,0.6440677966101696,0.006185518427247315,1,1,2
81,6,1,0.06779661016949157,0.006185518427247315,1,1,2
82,5,2,0.5254237288135593,0.006185518427247315,1,1,1
83,4,1,0.5423728813559323,0.006185518427247315,1,1,4
84,3,2,0.6440677966101696,0.006185518427247315,1,1,2
85,2,2,0.3220338983050847,0.006185518427247315,1,1,4
86,3,2,0.6610169491525424,0.006185518427247315,1,1,1
87,4,2,0.4067796610169491,0.006185518427247315,1,1,2
88,8,2,0.5254237288135593,0.006185518427247315,1,1,1
89,5,2,0.5423728813559323,0.006185518427247315,1,1,1
90,3,1,0.6949152542372881,0.0005333235250845962,1,0,2
91,3,1,0.6101694915254237,0.0005333235250845962,1,0,2
92,2,1,0.15254237288135597,0.0005333235250845962,1,0,4
