Name,population,area
budapest01,25196,3.41
budapest02,89903,36.34
budapest03,130415,39.7
budapest04,101558,18.82
budapest05,26284,2.59
budapest06,38504,2.38
budapest07,53381,2.09
budapest08,76811,6.85
budapest09,59056,12.53
budapest10,78414,32.49
budapest11,151812,33.49
budapest12,58171,26.67
budapest13,120256,13.43
budapest14,124841,18.13
budapest15,80573,26.94
budapest16,73486,33.51
budapest17,87793,54.82
budapest18,101738,38.6
budapest19,60731,9.38
budapest20,65321,12.19
budapest21,76911,25.75
budapest22,54611,34.25
budapest23,23641,40.77
budapestAll,1759407,525.13
